step,mloss,gloss,loss
236.0,1.3051,1.0121,2.3171999999999997
237.0,1.1669,0.9952,2.1621
238.0,1.1088,0.9867,2.0955
239.0,1.0844,1.0117,2.0961
240.0,1.0798,0.9891,2.0689
241.0,1.0935,1.0056,2.0991
242.0,1.0743,0.9992,2.0735
243.0,1.1234,0.9978,2.1212
244.0,1.1162,1.0061,2.1223
245.0,1.1143,0.9923,2.1066000000000003
246.0,1.1097,0.9997,2.1094
247.0,1.1288,1.0016,2.1304
248.0,1.1176,1.0161,2.1337
249.0,1.1113,0.9932,2.1045
250.0,1.1071,1.0227,2.1298
251.0,1.1594,0.992,2.1513999999999998
252.0,1.1435,0.9956,2.1391
253.0,1.1934,1.0056,2.199
254.0,1.1928,1.0105,2.2033
255.0,1.1817,0.9995,2.1812
256.0,1.0507,1.0104,2.0610999999999997
257.0,1.126,1.0035,2.1295
258.0,1.1402,1.022,2.1622000000000003
259.0,1.0825,0.9972,2.0797
260.0,1.1074,0.998,2.1054
261.0,1.1146,0.9976,2.1122
262.0,1.0821,1.0009,2.083
263.0,1.0887,1.0116,2.1003
264.0,1.1191,0.9946,2.1137
265.0,1.124,1.0215,2.1455
266.0,1.1142,1.0095,2.1237000000000004
267.0,1.0964,0.9992,2.0956
268.0,1.1171,0.9816,2.0987
269.0,1.1257,1.0181,2.1437999999999997
270.0,1.1075,0.9789,2.0864
271.0,1.0784,1.0092,2.0876
272.0,1.0887,1.0013,2.09
273.0,1.1055,1.0149,2.1204
274.0,1.1307,1.0013,2.132
275.0,1.1055,0.9763,2.0818
276.0,1.1085,1.0131,2.1216
277.0,1.1324,0.99,2.1224
278.0,1.13,0.9862,2.1162
279.0,1.0837,0.9885,2.0722
280.0,1.0808,1.0086,2.0894
281.0,1.083,0.9952,2.0782
282.0,1.1334,0.9985,2.1319
283.0,1.1207,1.0024,2.1231
284.0,1.104,0.9864,2.0904000000000003
285.0,1.1188,0.9953,2.1141
286.0,1.1427,1.0057,2.1484
287.0,1.0591,1.0111,2.0702
288.0,1.1261,0.9903,2.1164
289.0,1.0944,0.9915,2.0859
290.0,1.0907,1.0106,2.1013
291.0,1.1151,0.9973,2.1124
292.0,1.1541,1.0092,2.1633
293.0,1.086,0.9994,2.0854
294.0,1.1015,0.9971,2.0986
295.0,1.0829,1.0262,2.1090999999999998
296.0,1.1241,0.988,2.1121
297.0,1.1235,1.0112,2.1347
298.0,1.0779,1.0304,2.1083
299.0,1.1191,1.0077,2.1268000000000002
300.0,1.0979,1.0001,2.098
301.0,1.0956,1.0037,2.0993
302.0,1.1415,1.0061,2.1475999999999997
303.0,1.0904,1.0188,2.1092
304.0,1.0906,1.0064,2.097
305.0,1.1511,1.0048,2.1559
306.0,1.1389,1.0073,2.1462000000000003
307.0,1.1068,0.9949,2.1017
308.0,1.1177,1.0088,2.1265
309.0,1.1136,1.0048,2.1184
310.0,1.0881,0.9974,2.0855
311.0,1.2138,1.0062,2.2199999999999998
312.0,1.0989,1.0039,2.1028000000000002
313.0,1.1302,0.9942,2.1244
314.0,1.067,1.0074,2.0744
315.0,1.1272,0.9866,2.1138
316.0,1.1004,0.9872,2.0876
317.0,1.1281,0.9964,2.1245000000000003
318.0,1.1259,1.0049,2.1308
319.0,1.1287,1.0035,2.1322
320.0,1.1498,0.9862,2.136
321.0,1.1042,0.9899,2.0941
322.0,1.1429,1.0033,2.1462000000000003
323.0,1.0905,1.0082,2.0987
324.0,1.0852,0.9941,2.0793
325.0,1.1143,1.0014,2.1157000000000004
326.0,1.1448,1.0016,2.1464
327.0,1.1479,0.9999,2.1478
328.0,1.1769,1.0006,2.1775
329.0,1.125,0.9987,2.1237
